icd10_3,Deaths,Percentage,cause_description
W17,55,0.02813630248059874,Outras quedas de um nível a outro
B65,54,0.027624733344587853,Esquistossomose [bilharziose] [Schistosomíase]
C70,54,0.027624733344587853,Neoplasia maligna das meninges
K50,54,0.027624733344587853,Doença de Crohn [enterite regional]
A15,53,0.027113164208576967,"Tuberculose respiratória, com confirmação bacteriológica e histológica"
X09,53,0.027113164208576967,"Exposição a tipo não especificado de fumaça, fogo ou chamas"
Y30,53,0.027113164208576967,"Queda, salto ou empurrado de um lugar elevado, intenção não determinada"
D37,52,0.02660159507256608,Neoplasia de comportamento incerto ou desconhecido da cavidade oral e dos órgãos digestivos
G41,52,0.02660159507256608,Estado de mal epiléptico
K59,52,0.02660159507256608,Outros transtornos funcionais do intestino
K86,52,0.02660159507256608,Outras doenças do pâncreas
M84,52,0.02660159507256608,Transtornos da continuidade do osso
O96,52,0.02660159507256608,"Morte, por qualquer causa obstétrica, que ocorre mais de 42 dias, mas menos de 1 ano, após o parto"
C01,51,0.026090025936555197,Neoplasia maligna da base da língua
C14,51,0.026090025936555197,"Neoplasia maligna de outras localizações e de localizações mal definida, do lábio, cavidade oral e faringe"
L98,51,0.026090025936555197,Outras afecções da pele e do tecido subcutâneo não classificadas em outra parte
M35,51,0.026090025936555197,Outras afecções sistêmicas do tecido conjuntivo
X84,50,0.02557845680054431,Lesão autoprovocada intencionalmente por meios não especificados
Y09,50,0.02557845680054431,Agressão por meios não especificados
W06,49,0.025066887664533424,Queda de um leito
Y04,49,0.025066887664533424,Agressão por meio de força corporal
I83,48,0.024555318528522538,Varizes dos membros inferiores
C96,47,0.02404374939251165,"Outras neoplasias malignas e as não especificadas dos tecidos linfático, hematopoético e tecidos correlatos"
D70,47,0.02404374939251165,Agranulocitose
K42,46,0.023532180256500765,Hérnia umbilical
G11,45,0.02302061112048988,Ataxia hereditária
G61,45,0.02302061112048988,Polineuropatia inflamatória
A81,44,0.022509041984478992,Infecções por vírus atípicos do sistema nervoso central
C40,44,0.022509041984478992,Neoplasia maligna dos ossos e cartilagens articulares dos membros
C68,44,0.022509041984478992,Neoplasia maligna de outros órgãos urinários e dos não especificados
D59,44,0.022509041984478992,Anemia hemolítica adquirida
K66,44,0.022509041984478992,Outros transtornos do peritônio
J40,43,0.021997472848468105,Bronquite não especificada como aguda ou crônica
X69,43,0.021997472848468105,"Auto-intoxicação por e exposição, intencional, a outros produtos químicos e substâncias nocivas não especificadas"
D38,42,0.02148590371245722,Neoplasia de comportamento incerto ou desconhecido do ouvido médio e dos órgãos respiratórios e intratorácicos
D65,42,0.02148590371245722,Coagulação intravascular disseminada [síndrome de desfibrinação]
J42,42,0.02148590371245722,Bronquite crônica não especificada
K43,42,0.02148590371245722,Hérnia ventral
N40,42,0.02148590371245722,Hiperplasia da próstata
O15,42,0.02148590371245722,Eclâmpsia
G62,41,0.020974334576446332,Outras polineuropatias
J93,41,0.020974334576446332,Pneumotórax
G03,40,0.02046276544043545,Meningite devida a outras causas e a causas não especificadas
J46,40,0.02046276544043545,Estado de mal asmático
D84,39,0.019951196304424563,Outras imunodeficiências
B16,38,0.019439627168413676,Hepatite aguda B
B17,38,0.019439627168413676,Outras hepatites virais agudas
I09,38,0.019439627168413676,Outras doenças reumáticas do coração
O88,38,0.019439627168413676,Embolia de origem obstétrica
Y84,38,0.019439627168413676,"Reação anormal em paciente ou complicação tardia, causadas por outros procedimentos médicos, sem menção de acidente durante o procedimento"
G90,37,0.01892805803240279,Transtornos do sistema nervoso autônomo
M33,37,0.01892805803240279,Dermatopoliomiosite
M72,37,0.01892805803240279,Transtornos fibroblásticos
V20,37,0.01892805803240279,Motociclista traumatizado em colisão com um pedestre ou um animal
W13,37,0.01892805803240279,Queda de ou para fora de edifícios ou outras estruturas
A31,36,0.018416488896391903,Infecções devidas a outras micobactérias
C45,36,0.018416488896391903,Mesotelioma
C62,36,0.018416488896391903,Neoplasia maligna dos testículos
E05,36,0.018416488896391903,Tireotoxicose [hipertireoidismo]
O14,36,0.018416488896391903,Hipertensão gestacional [induzida pela gravidez] com proteinúria significativa
O72,36,0.018416488896391903,Hemorragia pós-parto
Q21,36,0.018416488896391903,Malformações congênitas dos septos cardíacos
A49,35,0.017904919760381017,Infecção bacteriana de localização não especificada
M46,35,0.017904919760381017,Outras espondilopatias inflamatórias
M80,35,0.017904919760381017,Osteoporose com fratura patológica
B02,34,0.01739335062437013,Herpes zoster [Zona]
I87,34,0.01739335062437013,Outros transtornos das veias
N13,34,0.01739335062437013,Uropatia obstrutiva e por refluxo
Y19,34,0.01739335062437013,"Envenenamento [intoxicação] por e exposição a outros produtos químicos e substâncias nocivas e aos não especificados, intenção não determinada"
M00,33,0.016881781488359244,Artrite piogênica
A86,32,0.016370212352348357,"Encefalite viral, não especificada"
C52,32,0.016370212352348357,Neoplasia maligna da vagina
C94,32,0.016370212352348357,Outras leucemias de células de tipo especificado
D75,32,0.016370212352348357,Outras doenças do sangue e dos órgãos hematopoéticos
K71,32,0.016370212352348357,Doença hepática tóxica
C69,31,0.01585864321633747,Neoplasia maligna do olho e anexos
E16,31,0.01585864321633747,Outros transtornos da secreção pancreática interna
E83,31,0.01585864321633747,Distúrbios do metabolismo de minerais
E84,31,0.01585864321633747,Fibrose cística
J39,31,0.01585864321633747,Outras doenças das vias aéreas superiores
J85,31,0.01585864321633747,Abscesso do pulmão e do mediastino
M16,31,0.01585864321633747,Coxartrose [artrose do quadril]
B45,30,0.015347074080326586,Criptococose
C05,30,0.015347074080326586,Neoplasia maligna do palato
C13,30,0.015347074080326586,Neoplasia maligna da hipofaringe
C77,30,0.015347074080326586,Neoplasia maligna secundária e não especificada dos gânglios linfáticos
G37,30,0.015347074080326586,Outras doenças desmielinizantes do sistema nervoso central
I40,30,0.015347074080326586,Miocardite aguda
K21,30,0.015347074080326586,Doença de refluxo gastroesofágico
M81,30,0.015347074080326586,Osteoporose sem fratura patológica
X72,30,0.015347074080326586,Lesão autoprovocada intencionalmente por disparo de arma de fogo de mão
E12,29,0.0148355049443157,Diabetes mellitus relacionado com a desnutrição
G23,29,0.0148355049443157,Outras doenças degenerativas dos gânglios da base
L93,29,0.0148355049443157,Lúpus eritematoso
L97,29,0.0148355049443157,Úlcera dos membros inferiores não classificada em outra parte
D25,28,0.014323935808304813,Leiomioma do útero
G10,28,0.014323935808304813,Doença de Huntington
N15,28,0.014323935808304813,Outras doenças renais túbulo-intersticiais
B23,27,0.013812366672293927,Doença pelo vírus da imunodeficiência humana [HIV] resultando em outras doenças
B90,27,0.013812366672293927,Seqüelas de tuberculose
C31,27,0.013812366672293927,Neoplasia maligna dos seios da face
I07,27,0.013812366672293927,Doenças reumáticas da valva tricúspide
I99,27,0.013812366672293927,Outros transtornos do aparelho circulatório e os não especificados
J67,27,0.013812366672293927,Pneumonite de hipersensibilidade devida a poeiras orgânicas
